PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
12.04,181.757813,90.0,-42.5,4543.645,0
12.04,181.757813,90.0,-43.0,4543.795,0
12.15,181.757813,90.0,-49.0,4543.795,0
12.14,180.0,90.0,-49.0,4543.695,0
12.15,181.757813,90.0,-42.5,4543.745,0
12.16,180.0,90.0,-43.0,4543.695,0
12.16,181.757813,90.0,-43.0,4543.645,0
12.15,181.757813,90.0,-42.5,4543.695,0
12.04,181.757813,90.0,-42.5,4543.795,0
12.04,181.757813,90.0,-43.0,4543.56,0
12.04,181.757813,90.0,-43.0,4543.695,0
12.04,183.164063,90.0,-43.0,4543.695,0
12.16,183.164063,90.0,-43.0,4543.645,0
12.04,180.0,90.0,-43.0,4543.745,0
12.16,181.757813,90.0,-43.0,4543.695,0
12.16,180.0,90.0,-43.0,4543.605,0
12.04,181.757813,90.0,-42.5,4543.645,0
12.04,181.757813,90.0,-42.5,4543.84,0
12.16,180.0,90.0,-43.0,4543.745,0
12.04,180.0,90.0,-43.0,4543.56,0
12.04,180.0,90.0,-43.0,4543.795,0
12.04,181.757813,90.0,-42.5,4543.695,0
12.04,180.0,90.0,-43.0,4543.51,0
12.16,181.757813,90.0,-42.5,4543.88,0
12.04,180.0,90.0,-43.0,4543.695,0
12.16,183.164063,90.0,-43.0,4543.745,0
12.16,180.0,90.0,-43.0,4543.645,0
12.16,180.0,90.0,-43.0,4543.645,0
12.04,180.0,90.0,-42.5,4543.84,0
12.16,181.757813,90.0,-43.0,4543.645,0
12.04,181.757813,90.0,-42.5,4543.645,0
12.16,183.164063,90.0,-43.0,4543.695,0
12.16,181.757813,90.0,-42.5,4543.795,0
12.16,181.757813,90.0,-42.5,4543.605,0
12.15,181.757813,90.0,-42.5,4543.41,0
12.04,181.757813,90.0,-42.5,4543.645,0
1.01,181.757813,90.0,-45.5,4543.695,0
1.01,183.164063,90.0,-43.0,4543.605,0
1.01,181.757813,90.0,-42.5,4543.56,0
12.04,183.164063,90.0,-43.0,4543.745,0
12.15,181.757813,90.0,-42.5,4543.645,0
1.01,181.757813,90.0,-48.5,4543.745,0
1.01,180.0,90.0,-48.5,4543.795,0
1.01,181.757813,90.0,-45.5,4543.645,0
1.01,181.757813,90.0,-46.0,4543.605,0
1.01,180.0,90.0,-46.0,4543.645,0
1.01,181.757813,90.0,-46.0,4543.745,0
1.01,180.0,90.0,-46.0,4543.605,0
1.01,180.0,90.0,-46.0,4543.51,0
12.04,181.757813,90.0,-42.5,4543.645,0
12.16,181.757813,90.0,-42.5,4543.695,0
12.16,181.757813,90.0,-42.5,4543.56,0
12.15,181.757813,90.0,-42.5,4543.645,0
1.01,180.0,90.0,-49.0,4543.84,0
1.01,181.757813,90.0,-48.5,4543.745,0
1.01,181.757813,90.0,-48.5,4543.88,0
1.01,181.757813,90.0,-49.0,4543.645,0
1.01,181.757813,90.0,-48.5,4543.795,0
1.01,181.757813,90.0,-48.5,4543.56,0
1.01,180.0,90.0,-48.5,4543.695,0
1.01,181.757813,90.0,-48.5,4543.745,0
1.01,180.0,90.0,-49.0,4543.605,0
12.16,180.0,90.0,-42.5,4543.795,0
12.04,180.0,90.0,-42.5,4543.745,0
12.16,181.757813,90.0,-42.5,4543.695,0
12.16,181.757813,90.0,-42.5,4543.745,0
12.16,181.757813,90.0,-42.5,4543.695,0
12.15,181.757813,90.0,-42.5,4543.645,0
1.01,181.757813,90.0,-46.0,4543.695,0
1.01,180.0,90.0,-46.5,4543.56,0
1.01,180.0,90.0,-47.0,4543.695,0
1.01,181.757813,90.0,-46.0,4543.645,0
12.16,181.757813,90.0,-42.5,4543.695,0
12.04,181.757813,90.0,-42.5,4543.605,0
12.04,181.757813,90.0,-42.5,4543.745,0
1.01,181.757813,90.0,-42.5,4543.695,0
1.01,180.0,90.0,-43.0,4543.695,0
1.01,180.0,90.0,-43.0,4543.605,0
1.01,183.164063,90.0,-48.0,4543.745,0
1.01,181.757813,90.0,-47.5,4543.745,0
12.15,183.164063,90.0,-52.5,4543.84,0
12.14,180.0,90.0,-52.5,4543.795,0
1.01,181.757813,90.0,-46.5,4543.645,0
1.01,181.757813,90.0,-46.5,4543.84,0
1.01,180.0,90.0,-46.5,4543.695,0
1.01,181.757813,90.0,-46.5,4543.56,0
12.04,180.0,90.0,-43.0,4543.605,0
12.04,181.757813,90.0,-42.5,4543.645,0
1.01,178.242188,90.0,-48.5,4543.645,0
1.01,180.0,90.0,-48.5,4543.795,0
1.01,181.757813,90.0,-54.0,4543.84,0
1.01,180.0,90.0,-54.5,4543.795,0
1.01,180.0,90.0,-43.0,4543.795,0
1.01,181.757813,90.0,-42.5,4543.56,0
1.01,180.0,90.0,-43.0,4543.41,0
1.01,180.0,90.0,-43.0,4543.46,0
1.01,181.757813,90.0,-42.5,4543.88,0
1.01,178.242188,90.0,-43.0,4543.56,0
1.01,178.242188,90.0,-49.0,4543.645,0
1.01,180.0,90.0,-48.5,4543.605,0
1.01,180.0,90.0,-48.5,4543.46,0
1.01,180.0,90.0,-48.5,4543.745,0
1.01,180.0,90.0,-48.5,4543.745,0
