PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
3.07,7.03125,90.0,-66.5,1425.6,0
5.44,117.421875,90.0,-38.0,1425.65,0
5.44,117.421875,90.0,-38.0,1425.6,0
8.59,90.0,90.0,-44.0,1425.65,0
8.53,90.0,90.0,-44.0,1425.69,0
8.74,72.070313,90.0,-44.0,1425.51,0
8.53,72.070313,90.0,-44.0,1425.69,0
272.89,112.5,90.0,-18.0,1376.33,1
275.29,114.609375,90.0,-18.0,1376.38,1
5.8,107.929688,90.0,-17.5,1425.65,0
5.8,107.929688,90.0,-17.5,1425.735,0
5.77,107.929688,90.0,-17.5,1425.735,0
5.83,107.929688,90.0,-17.5,1425.6,0
5.44,107.929688,90.0,-17.5,1425.65,0
5.44,107.929688,90.0,-17.5,1425.69,0
10.0,111.09375,90.0,-17.5,1375.69,0
10.0,111.09375,90.0,-18.0,1375.735,0
6.94,124.453125,90.0,-34.0,1375.785,0
16.45,123.75,90.0,-34.5,1375.835,0
9.19,111.09375,90.0,-17.5,1375.6,0
6.73,107.929688,90.0,-18.0,1425.55,0
6.73,95.273438,90.0,-16.0,1425.69,0
7.33,106.523438,90.0,-18.5,1425.55,0
7.3,106.523438,90.0,-18.0,1425.465,0
7.3,105.117188,90.0,-18.5,1425.55,0
7.27,105.117188,90.0,-18.5,1425.55,0
5.23,96.679688,90.0,-40.5,1425.835,0
8.08,96.679688,90.0,-40.5,1425.875,0
241.39,101.601563,90.0,-38.5,1375.875,1
241.9,111.09375,90.0,-38.0,1376.105,1
8.74,121.289063,90.0,-44.5,1425.6,0
8.65,121.289063,90.0,-44.5,1425.55,0
8.38,103.007813,90.0,-17.5,1425.735,0
8.38,105.117188,90.0,-17.5,1425.69,0
8.38,106.523438,90.0,-17.5,1425.69,0
8.38,106.523438,90.0,-17.5,1425.735,0
8.44,107.929688,90.0,-17.5,1425.69,0
8.47,106.523438,90.0,-17.5,1425.69,0
9.28,113.90625,90.0,-17.5,1375.65,0
9.13,112.5,90.0,-17.5,1375.65,0
6.88,114.609375,90.0,-36.0,1425.875,0
6.94,116.015625,90.0,-36.5,1425.92,0
289.3,113.90625,90.0,-18.0,1376.245,1
278.83,113.90625,90.0,-18.0,1376.295,1
16.87,105.117188,90.0,-17.5,1425.69,0
16.54,106.523438,90.0,-17.5,1425.69,0
9.67,106.523438,90.0,-17.5,1425.6,0
9.67,103.007813,90.0,-17.0,1425.735,0
9.58,105.117188,90.0,-17.5,1425.65,0
9.64,105.117188,90.0,-17.5,1425.55,0
5.77,99.84375,90.0,-40.0,1425.835,0
5.8,99.84375,90.0,-40.0,1425.835,0
7.0,48.867188,90.0,-47.5,1425.14,0
8.29,112.5,90.0,-36.5,1375.735,0
8.35,109.335938,90.0,-36.0,1375.785,0
6.55,118.828125,90.0,-39.5,1425.735,0
7.54,118.828125,90.0,-39.5,1425.65,0
6.04,124.453125,90.0,-40.0,1425.835,0
5.98,127.265625,90.0,-40.0,1425.69,0
5.32,107.929688,90.0,-39.0,1425.735,0
5.32,107.929688,90.0,-39.0,1425.735,0
5.32,107.929688,90.0,-38.5,1425.835,0
5.32,109.335938,90.0,-38.0,1425.835,0
5.53,81.5625,90.0,-41.0,1425.97,0
5.59,84.726563,90.0,-40.0,1426.01,0
5.59,84.726563,90.0,-40.0,1425.835,0
5.68,86.835938,90.0,-40.0,1426.06,0
5.65,90.0,90.0,-39.5,1425.835,0
5.65,90.0,90.0,-39.5,1425.875,0
14.53,117.421875,90.0,-36.5,1375.835,0
2.77,310.078125,90.0,-72.5,1376.145,0
14.74,118.828125,90.0,-37.0,1375.6,0
3.67,48.515625,90.0,-73.5,1378.02,0
16.72,111.09375,90.0,-17.5,1375.69,0
7.48,105.117188,90.0,-18.5,1425.65,0
7.33,106.523438,90.0,-18.5,1425.6,0
11.2,106.523438,90.0,-17.5,1425.835,0
11.23,105.117188,90.0,-18.0,1425.65,0
11.14,106.523438,90.0,-17.5,1425.735,0
11.2,106.523438,90.0,-17.5,1425.65,0
15.43,106.523438,90.0,-17.5,1425.735,0
